name,git,cloned
git-extras,https://github.com/tj/git-extras,False
Gistup,https://github.com/mbostock/gistup,False
ll,https://github.com/antonmedv/ll,False
fx,https://github.com/antonmedv/fx,False
speedtest-net,https://github.com/ddsol/speedtest.net,False
shallow-backup,https://github.com/alichtman/shallow-backup,False
mdp,https://github.com/visit1985/mdp,False
sent,https://git.suckless.org/sent/log.html,False
eureka,https://github.com/simeg/eureka,False
taskell,https://github.com/smallhadroncollider/taskell,False
taskbook,https://github.com/klaussinani/taskbook,False
papis,https://github.com/alejandrogallo/papis,False
tuir,https://gitlab.com/ajak/tuir,False
xxh,https://github.com/xxh/xxh,False
browsh,https://github.com/browsh-org/browsh,False
jless,https://github.com/PaulJuliusMartinez/jless,False
bat,https://github.com/sharkdp/bat,False
osmf,https://github.com/codesoap/osmf,False
haxor-news,https://github.com/donnemartin/haxor-news,False
texel,https://github.com/Lauriat/texel,False
gambit,https://github.com/maaslalani/gambit,False
bin,https://github.com/marcosnils/bin,False
stew,https://github.com/marwanhawari/stew,False
clidle,https://github.com/ajeetdsouza/clidle,False
CLI-Manager,https://github.com/MikyStar/CLI-Manager,False
wordle-curses,https://github.com/knosmos/wordle-curses,False
termishare,https://github.com/qnkhuat/termishare,False
ictree,https://github.com/NikitaIvanovV/ictree,False
Quoter,https://github.com/frossm/quoter,False
nala,https://gitlab.com/volian/nala,False
terminordle,https://github.com/HP4k1h5/terminordle,False
gh-s,https://github.com/gennaro-tedesco/gh-s,False
gh-f,https://github.com/gennaro-tedesco/gh-f,False
stargazer,https://github.com/gennaro-tedesco/stargazer,False
http-tanker,https://github.com/PierreKieffer/http-tanker,False
Bevel,https://github.com/NorfairKing/bevel,False
zq,https://github.com/brimdata/zed,False
Mabel,https://github.com/smmr-software/mabel,False
tuc,https://github.com/riquito/tuc,False
sku,https://github.com/fedeztk/sku,False
fasttyper,https://github.com/ickyicky/fasttyper,False
GameShell,https://github.com/phyver/GameShell,False
Lotus 1-2-3 for Linux,https://github.com/taviso/123elf#lotus-1-2-3-for-linux,False
addrb,https://github.com/mrusme/addrb,False
atuin,https://github.com/ellie/atuin,False
Artem,https://github.com/FineFindus/artem,False
thokr,https://github.com/thatvegandev/thokr,False
socialscan,https://github.com/iojw/socialscan,False
termusic,https://github.com/tramhao/termusic,False
cointop,https://github.com/cointop-sh/cointop,False
pulsemixer,https://github.com/GeorgeFilipkin/pulsemixer,False
fastdiract,https://github.com/dp12/fastdiract,False
inventory,https://github.com/mothdotmonster/inventory,False
Draw,https://github.com/maaslalani/draw,False
toipe,https://github.com/Samyak2/toipe,False
bore,https://github.com/ekzhang/bore,False
zee,https://github.com/zee-editor/zee,False
watcher,https://github.com/sethigeet/watcher,False
RecoverPy,https://github.com/PabloLec/RecoverPy,False
file-type-cli,https://github.com/sindresorhus/file-type-cli,False
trash-cli,https://github.com/sindresorhus/trash-cli,False
Ultimate Plumber,https://github.com/akavel/up,False
fkill-cli,https://github.com/sindresorhus/fkill-cli,False
has,https://github.com/kdabir/has,False
brightnessctl,https://github.com/Hummer12007/brightnessctl,False
sncli,https://github.com/insanum/sncli,False
dnote,https://github.com/dnote/dnote,False
Geeknote,https://github.com/jeffkowalski/geeknote,False
Terminal velocity,https://github.com/vhp/terminal_velocity,False
Pubs,https://github.com/pubs/pubs,False
IRedis,https://github.com/laixintao/iredis,False
mycli,https://github.com/dbcli/mycli,False
pgcli,https://github.com/dbcli/pgcli,False
usql,https://github.com/xo/usql,False
Instant Music Downloader,https://github.com/yask123/Instant-Music-Downloader,False
Spotify TUI,https://github.com/Rigellute/spotify-tui,False
dzr,https://github.com/yne/dzr,False
beets,https://github.com/beetbox/beets,False
musikcube,https://github.com/clangen/musikcube,False
Editly,https://github.com/mifi/editly,False
ffmpeg,https://github.com/FFmpeg/FFmpeg,False
Taskell,https://github.com/smallhadroncollider/taskell,False
xonsh,https://github.com/xonsh/xonsh,False
hledger,https://github.com/simonmichael/hledger,False
fzf-git.sh,https://github.com/junegunn/fzf-git.sh,False
simtex,https://github.com/iaacornus/simtex,False
ff,https://github.com/akymos/ff,False
othello-cli,https://github.com/LelsersLasers/othello-cli,False
paycon,https://github.com/arcorion/paycon,False
Jitter,https://github.com/sharpcdf/jitter,False
Transgression TUI,https://github.com/PanAeon/transg-tui,False
pdf-diff,https://github.com/serhack/pdf-diff,False
kakikun,https://github.com/file-acomplaint/kakikun,False
Aewan,https://sourceforge.net/projects/aewan/,False
jp2a,https://sourceforge.net/projects/jp2a/,False
LinuxLogo,https://sourceforge.net/projects/linuxlogo/,False
pv,https://github.com/a-j-wood/pv,False
TStream,https://github.com/qnkhuat/tstream,False
tsk,https://github.com/kakengloh/tsk,False
The Logfile Navigator,https://github.com/tstack/lnav,False
gojq,https://github.com/itchyny/gojq,False
pt.sh,https://github.com/alexeytal/pt.sh,False
Zellij,https://github.com/zellij-org/zellij,False
xit,https://github.com/jotaen/xit,False
uacme,https://github.com/ndilieto/uacme,False
Tizonia,https://github.com/tizonia/tizonia-openmax-il,False
Tera,https://github.com/shinokada/tera,False
sssnake,https://github.com/AngelJumbo/sssnake,False
Devbox,https://github.com/jetpack-io/devbox,False
gh-stars,https://github.com/aymanbagabas/gh-stars,False
asuka,https://git.sr.ht/~julienxx/asuka,False
Gremlin,https://github.com/actuday6418/gremlin,False
min,https://github.com/a-h/min,False
Telescope,https://github.com/omar-polo/telescope,False
gplaces,https://github.com/dimkr/gplaces,False
Romulus,https://github.com/LukeEmmet/Romulus,False
pymailgen,https://github.com/toolleeo/pymailgen,False
FAWOC,https://github.com/robolab-pavia/fawoc,False
slr-kit,https://github.com/robolab-pavia/slr-kit,False
Helix,https://github.com/helix-editor/helix,False
